,Locality,Restaurant_Type,Ratings_out_of_5,Number of votes,Cuisines,Cost,payment_modes,5_star_review_percentage
9875,96,34,0.0,0,266,0.0,5,0
9876,5,69,0.0,0,479,300.0,5,0
9877,84,14,0.0,0,357,400.0,5,0
9878,31,69,0.0,0,865,300.0,6,0
9879,81,69,0.0,0,865,200.0,3,0
9880,7,23,0.0,0,1365,400.0,5,0
9881,42,63,0.0,0,2181,100.0,3,0
9882,93,69,0.0,0,515,350.0,5,0
9883,68,69,0.0,0,226,200.0,6,0
9884,61,69,0.0,0,825,300.0,3,0
9885,68,69,0.0,0,1581,300.0,6,0
9886,7,69,0.0,0,564,500.0,3,0
9887,4,69,0.0,0,579,200.0,5,0
9888,77,69,0.0,0,2158,200.0,3,0
9889,6,69,0.0,0,888,200.0,3,0
9890,92,34,0.0,0,1591,0.0,3,0
9891,41,80,0.0,0,985,0.0,6,0
9892,22,69,0.0,0,1517,250.0,3,0
9893,93,69,0.0,0,1581,500.0,5,0
9894,7,69,0.0,0,200,400.0,6,0
9895,80,10,0.0,0,186,300.0,6,0
9896,80,69,0.0,0,2288,300.0,6,0
9897,6,69,0.0,0,479,300.0,3,0
9898,7,69,0.0,0,1517,150.0,5,0
9899,7,23,0.0,0,567,500.0,3,0
9900,7,69,0.0,0,2351,200.0,3,0
9901,7,69,0.0,0,183,200.0,5,0
9902,7,69,0.0,0,877,400.0,5,0
9903,72,69,0.0,0,865,250.0,1,0
9904,65,69,0.0,0,878,300.0,3,0
9905,5,34,0.0,0,1581,0.0,1,0
9906,7,69,0.0,0,2375,200.0,5,0
9907,88,34,0.0,0,865,0.0,5,0
9908,7,69,0.0,0,865,100.0,3,0
9909,7,69,0.0,0,1517,250.0,3,0
9910,7,69,0.0,0,865,150.0,5,0
9911,96,34,0.0,0,479,0.0,3,0
9912,94,80,0.0,0,2513,0.0,6,0
9913,91,80,0.0,0,1517,0.0,6,0
9914,90,34,0.0,0,1763,0.0,1,0
9915,94,69,0.0,0,865,100.0,3,0
9916,88,34,0.0,0,2351,0.0,5,0
9917,64,69,0.0,0,1467,400.0,6,0
9918,7,69,0.0,0,230,250.0,3,0
9919,4,69,0.0,0,1326,200.0,5,0
9920,7,69,0.0,0,865,300.0,5,0
9921,21,69,0.0,0,1951,200.0,5,0
9922,81,69,0.0,0,1392,250.0,3,0
9923,31,34,0.0,0,307,0.0,6,0
9924,31,69,0.0,0,200,150.0,5,0
9925,32,69,0.0,0,1581,400.0,3,0
9926,63,80,0.0,0,200,0.0,6,0
9927,68,69,0.0,0,1009,250.0,5,0
9928,58,69,0.0,0,479,250.0,5,0
9929,83,55,0.0,0,2351,100.0,5,0
9930,37,69,0.0,0,2463,100.0,3,0
9931,31,69,0.0,0,2369,600.0,5,0
9932,84,80,0.0,0,1951,0.0,5,0
9933,41,69,0.0,0,865,250.0,3,0
9934,2,69,0.0,0,479,250.0,9,0
9935,31,80,0.0,0,200,0.0,3,0
9936,33,69,0.0,0,2070,150.0,5,0
9937,46,0,0.0,0,102,300.0,5,0
9938,46,34,0.0,0,2223,0.0,5,0
9939,93,69,0.0,0,1326,400.0,3,0
9940,93,80,0.0,0,1517,0.0,5,0
9941,32,69,0.0,0,2449,200.0,3,0
9942,7,69,0.0,0,996,150.0,3,0
9943,75,79,0.0,0,865,0.0,5,0
9944,46,34,0.0,0,2196,0.0,5,0
9945,42,80,0.0,0,1306,0.0,3,0
9946,92,69,0.0,0,307,200.0,3,0
9947,17,34,0.0,0,2351,0.0,3,0
9948,53,69,0.0,0,1863,300.0,3,0
9949,68,69,0.0,0,1517,300.0,3,0
9950,31,22,0.0,0,1517,0.0,3,0
9951,33,69,0.0,0,2463,150.0,5,0
9952,95,37,0.0,0,818,300.0,1,0
9953,68,69,0.0,0,2477,200.0,3,0
9954,90,69,0.0,0,1517,200.0,3,0
9955,66,80,0.0,0,2188,0.0,3,0
9956,46,34,0.0,0,205,0.0,5,0
9957,6,69,0.0,0,1951,350.0,3,0
9958,91,69,0.0,0,479,250.0,3,0
9959,69,34,0.0,0,332,0.0,5,0
9960,37,69,0.0,0,1517,150.0,5,0
9961,17,69,0.0,0,2399,150.0,3,0
9962,68,69,0.0,0,1326,200.0,5,0
9963,51,69,0.0,0,559,300.0,3,0
9964,60,69,0.0,0,2476,150.0,3,0
9965,94,69,0.0,0,200,300.0,6,0
